branch_id,C20,C21,S21,C22,S22
R0_reference_residual,-2.86746200026632E-10,-4.033059664423E-10,1.485490068978E-09,2.439397214276E-06,-1.400308064622E-06
R_compatible_central,6.05562926374335E-06,5.79553812568029E-06,4.91066575761128E-06,-3.80303303923046E-06,-3.37643763098083E-06
R_anomaly_sensitivity,1.36358582478856E-06,3.15476899524353E-06,8.36625261138065E-06,-7.26908208801194E-06,-3.48738180397988E-06
